image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
,Fred Handler Park,St. Bonaventure,NY,St. Bonaventure,Atlantic 10,500,1958,,42.0787798,-78.4863931,430.5046997
,Smithson Field,Merion Station,PA,Saint Joseph's,Atlantic 10,400,2012,,39.9957095,-75.2454395,83.24876404
,Billiken Sports Center,St. Louis,MO,Saint Louis,Atlantic 10,500,1990,,38.633037,-90.2280031,153.7638855
,The Diamond,Richmond,VA,VCU,Atlantic 10,12134,1985,,37.5717224,-77.4632055,63.29532623
,Bulldog Park,Indianapolis,IN,Butler,Big East,500,—,,39.846334,-86.168479,217.5989227
,TD Ameritrade Park Omaha,Omaha,NE,Creighton,Big East,24505,2011,,41.2667611,-95.9314596,297.5004578
,Shirley Povich Field,Bethesda,MD,Georgetown,Big East,1500,2000,,39.0310113,-77.1509487,91.93266296
,"Mike Sheppard, Sr. Stadium at Owen T. Carroll Field",South Orange,NJ,Seton Hall,Big East,261,1907,,40.7406714,-74.2481949,74.69132996
,Jack Kaiser Stadium,Queens,NY,St. John's,Big East,3500,2000,,40.7236818,-73.7914987,28.06645393
,Elliot Ballpark,Storrs,CT,UConn,Big East,"1,500[11]",2021[a],,41.8006501,-72.2536518,197.8487396
,Villanova Ballpark at Plymouth,Plymouth Meeting,PA,Villanova,Big East,1500,2003,,40.1236506,-75.2894035,95.27973175
,J. Page Hayden Field,Cincinnati,OH,Xavier,Big East,500,1920s,,39.1499423,-84.4764894,181.2694855
,Buccaneer Ballpark,North Charleston,SC,Charleston Southern,Big South,1500,—,,32.9836917,-80.0670163,10.29676533
,John Henry Moss Stadium,Boiling Springs,NC,Gardner-Webb,Big South,700,2010,,35.24377,-81.669082,259.7330627
,George S. Erath Field at Coy O. Williard Baseball Stadium,High Point,NC,High Point,Big South,550,2007,,35.9751648,-79.9958441,253.5614014
,Bolding Stadium,Farmville,VA,Longwood,Big South,500,1994,,37.2938185,-78.3961318,116.9873886
,Presbyterian Baseball Complex,Clinton,SC,Presbyterian,Big South,500,1988,,34.4611425,-81.8640922,199.5849457
,Radford Baseball Stadium,Radford,VA,Radford,Big South,700,1986,,37.1367865,-80.5391754,530.7021484
,Greenwood Baseball Field,Asheville,NC,UNC Asheville,Big South,300,1988,,35.6168426,-82.5707155,630.6143188
,Cleveland S. Harley Baseball Park,Spartanburg,SC,USC Upstate,Big South,500,2004,,35.0023536,-81.9653883,251.8916168
,Winthrop Ballpark,Rock Hill,SC,Winthrop,Big South,1800,2007,,34.9460337,-81.0194117,198.8408508
,Illinois Field,Champaign,IL,Illinois,Big Ten,3000,1988,,40.0971217,-88.2294574,230.4178925
,Bart Kaufman Field,Bloomington,IN,Indiana,Big Ten,2500,2013,,39.1848834,-86.5223836,243.0321198
,Duane Banks Field,Iowa City,IA,Iowa,Big Ten,3000,1974,,41.663778,-91.5546047,216.1651764
,Shipley Field,College Park,MD,Maryland,Big Ten,2500,1965,,38.9894267,-76.9443211,35.65171051
,Ray Fisher Stadium,Ann Arbor,MI,Michigan,Big Ten,4000,1923,,42.2678621,-83.7420671,253.7054443
,Drayton McLane Baseball Stadium at John H. Kobs Field,East Lansing,MI,Michigan State,Big Ten,4600,1902,,42.7323431,-84.4884579,252.9125671
,Siebert Field,Minneapolis,MN,Minnesota,Big Ten,1500,1971,,44.9821897,-93.2292455,254.2904205
,Haymarket Park,Lincoln,NE,Nebraska,Big Ten,8500,2001,,40.822845,-96.7131624,347.9354248
,Rocky Miller Park,Evanston,IL,Northwestern,Big Ten,600,1943,,42.0680471,-87.692518,183.1503296
,Bill Davis Stadium,Columbus,OH,Ohio State,Big Ten,4450,1997,,40.0099182,-83.0259088,224.9793854
,Medlar Field at Lubrano Park,University Park,PA,Penn State,Big Ten,5406,2006,,40.812278,-77.8524246,345.2424622
,Alexander Field,West Lafayette,IN,Purdue,Big Ten,1500,2013,,40.4372183,-86.9421323,207.3272705
,Bainton Field,Piscataway,NJ,Rutgers,Big Ten,1500,2007,,40.5276451,-74.4424057,27.86833572
,Baylor Ballpark,Waco,TX,Baylor,Big 12,5000,1999,,31.5509941,-97.1075414,118.882576
,Larry H. Miller Field,Provo,UT,BYU,Big 12,2710,2001,,40.2547328,-111.6513737,1420.372925
,UC Baseball Stadium,Cincinnati,OH,Cincinnati,Big 12,3085,2004,[12],39.1302033,-84.5137747,245.7969513
,Schroeder Park,Houston,TX,Houston,Big 12,5000,1995,,29.7267987,-95.3453574,11.6844511
,Hoglund Ballpark,Lawrence,KS,Kansas,Big 12,2500,1958,,38.9527426,-95.252621,274.7484741
,Tointon Family Stadium,Manhattan,KS,Kansas State,Big 12,2331,1961,,39.1992239,-96.5969735,340.9178162
,L. Dale Mitchell Baseball Park,Norman,OK,Oklahoma,Big 12,3180,1982,,35.1908778,-97.4460294,348.3063049
