game_info,year,n_venue
BIG TEN CHAMPIONSHIP ,2016,"tÿTD Ameritrade Park OmahaÿinÿOmaha, Nebraska"
BIG TEN CHAMPIONSHIP ,2017,"Bart Kaufman Fieldÿon the campus ofÿIndiana UniversityÿinÿBloomington, Indiana"
BIG TEN CHAMPIONSHIP ,2018,"tÿTD Ameritrade Park OmahaÿinÿOmaha, Nebraska"
BIG TEN TOURNAMENT,2019,"tÿTD Ameritrade Park OmahaÿinÿOmaha, Nebraska"
Big Ten Tournament,2022,"ÿCharles Schwab Field OmahaÿinÿOmaha, Nebraska"
BIG TEN TOURNAMENT ,2017,"Bart Kaufman Fieldÿon the campus ofÿIndiana UniversityÿinÿBloomington, Indiana"
BIG TEN TOURNAMENT ,2018,"tÿTD Ameritrade Park OmahaÿinÿOmaha, Nebraska"
BULLDOG INVITATIONAL ,2016,0
CAA CHAMPIONSHIP,2019,"ÿEagle Field at Veterans Memorial ParkÿinÿHarrisonburg, Virginia"
CAA Championship,2021,"tÿBrooks FieldÿinÿWilmington, North Carolina,"
CAA Championship,2022,"ÿWalter C. Latham ParkÿinÿElon, North Carolina"
CAA CHAMPIONSHIP ,2017,"tÿBrooks FieldÿinÿWilmington, North Carolina"
CAA TOURNAMENT,2019,"ÿEagle Field at Veterans Memorial ParkÿinÿHarrisonburg, Virginia"
CAA Tournament,2021,"tÿBrooks FieldÿinÿWilmington, North Carolina,"
CAA Tournament,2022,"ÿWalter C. Latham ParkÿinÿElon, North Carolina"
CAA TOURNAMENT ,2017,"tÿBrooks FieldÿinÿWilmington, North Carolina"
CAA TOURNAMENT ,2018,"ÿEagle Field at Veterans Memorial ParkÿinÿHarrisonburg, Virginia,"
CAA TOURNAMENT ,2016,"ÿCofC Baseball Stadium at Patriot's PointÿinÿMount Pleasant, South Carolina,ÿ"
Cambria College Classic,2022,ÿU.S. Bank Stadium
Campbell vs Liberty,2022,0
Canisius vs Liberty,2022,0
Caravelle Resort Tournament ,2016,Springs Brooks Stadium/Vrooman Field
CARAVELLE RESORT TOURNAMENT ,2017,Springs Brooks Stadium/Vrooman Field
Central Connecticut vs Kansas State,2022,0
CHARLESTON CRAB HOUSE SHOOTOUT ,2017,0
Coastal Carolina Tournament,2019,Springs Brooks Stadium/Vrooman Field
Coastal Carolina Tournament,2021,Springs Brooks Stadium/Vrooman Field
Coastal Carolina Tournament ,2016,Springs Brooks Stadium/Vrooman Field
Coastal Carolina vs Texas State,2022,0
Coastal Carolina vs West Virginia,2021,0
Columbia vs Baylor,2022,0
CONFERENCE USA CHAMPIONSHIP,2019,"ÿMGM ParkÿinÿBiloxi, Mississippi.ÿ"
Conference USA Championship,2021,"ÿJ. C. Love Field at Pat Patterson ParkÿinÿRuston, Louisiana.["
Conference USA Championship,2022,"tÿPete Taylor ParkÿinÿHattiesburg, Mississippi.ÿ"
CONFERENCE USA CHAMPIONSHIP ,2016,"ÿPete Taylor ParkÿinÿHattiesburg, Mississippi.ÿ"
CONFERENCE USA TOURNAMENT,2019,"ÿMGM ParkÿinÿBiloxi, Mississippi.ÿ"
Conference USA Tournament,2021,"ÿJ. C. Love Field at Pat Patterson ParkÿinÿRuston, Louisiana.["
Conference USA Tournament,2022,"tÿPete Taylor ParkÿinÿHattiesburg, Mississippi.ÿ"
CONFERENCE USA TOURNAMENT ,2018,"ÿMGM ParkÿinÿBiloxi, Mississippi.ÿ"
CONFERENCE USA TOURNAMENT ,2017,"ÿMGM ParkÿinÿBiloxi, Mississippi.ÿ"
CONFERENCE USA TOURNAMENT ,2016,"ÿPete Taylor ParkÿinÿHattiesburg, Mississippi.ÿ"
COX DIAMOND INVITATIONAL ,2016,0
Creighton vs Kansas,2021,0
CSU Fullerton vs UC Irvine,2021,0
East Carolina vs Campbell,2022,0
East Carolina vs Cincinnati,2021,0
East Carolina vs Georgia Southern,2021,0
Evansville vs Tulane,2022,0
First Pitch Invitational,2022,Fluor Field Greenville NC
FRISCO CLASSIC,2019,"ÿDr Pepper Ballpark in Frisco, Texas"
Frisco College Baseball Classic,2022,"ÿDr Pepper Ballpark in Frisco, Texas"
Frisco College Baseball Classic,2021,"ÿDr Pepper Ballpark in Frisco, Texas"
Game will restart in the top of the 9th at 1230pm ,2021,0
Gonzaga vs TCU,2021,0
Grand Canyon Classic ,2016,0
HORIZON LEAGUE CHAMPIONSHIP,2019,"ÿNischwitz StadiumÿinÿFairborn, Ohio,"
Horizon League Championship,2021,"ÿNischwitz StadiumÿinÿFairborn, Ohio,"
Horizon League Championship,2022,"ÿNischwitz StadiumÿinÿFairborn, Ohio,"
HORIZON LEAGUE CHAMPIONSHIP ,2017,tÿLes Miller Field at Curtis Granderson StadiumÿinÿChicago
HORIZON LEAGUE CHAMPIONSHIP ,2018,"ÿNischwitz StadiumÿinÿFairborn, Ohio,"
HORIZON LEAGUE TOURNAMENT,2019,"ÿNischwitz StadiumÿinÿFairborn, Ohio,"
Horizon League Tournament,2022,"ÿNischwitz StadiumÿinÿFairborn, Ohio,"
Horizon League Tournament,2021,"ÿNischwitz StadiumÿinÿFairborn, Ohio,"
HORIZON LEAGUE TOURNAMENT ,2017,tÿLes Miller Field at Curtis Granderson StadiumÿinÿChicago
HORIZON LEAGUE TOURNAMENT ,2018,"ÿNischwitz StadiumÿinÿFairborn, Ohio,"
Houston Baptist vs Baylor,2022,0
Houston Baptist vs Sacramento State,2022,0
Illinois State vs East Carolina,2021,0
Indiana vs Michigan,2021,0
Indiana vs Missouri State,2022,0
Indiana vs Troy,2022,0
Iowa vs UC Irvine,2022,0
IVY LEAGUE CHAMPIONSHIP SERIES,2018,0
Ivy League Championship Series,2022,0
IVY LEAGUE CHAMPIONSHIP SERIES ,2016,0
IVY LEAGUE CHAMPIONSHIP SERIES ,2017,0
IVY LEAGUE CHAMPIONSHIP SERIES ,2018,0
IVY LEAGUE CHAMPIONSHIP SERIES - GAME 1,2019,0
IVY LEAGUE CHAMPIONSHIP SERIES - GAME 2,2019,0
Jerry Bryson Classic,2022,0
Kansas State vs Baylor,2021,0
Kansas State vs CSU Bakersfield,2022,0
Kansas State vs Kansas,2021,0
Kansas State vs Oklahoma State,2021,0
Kansas vs Charleston Southern,2022,0
Keith LeClair Classic,2022,Lewis Field at Clark-LeClair Stadium
Keith LeClair Classic ,2016,Lewis Field at Clark-LeClair Stadium
KLEBERG BANK COLLEGE CLASSIC,2020,ÿWhataburger Field
Kleberg Bank College Classic,2022,ÿWhataburger Field
LECLAIR CLASSIC,2019,Lewis Field at Clark-LeClair Stadium
LECLAIR CLASSIC,2020,Lewis Field at Clark-LeClair Stadium
LECLAIR CLASSIC ,2017,Lewis Field at Clark-LeClair Stadium
Liberty vs TCU,2021,0
Long Beach State vs UC Irvine,2021,0
MAAC CHAMPIONSHIP,2019,0
MAAC Championship,2022,"ÿClover StadiumÿinÿPomona, New York"
