date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation,weather_data
2016-03-24,Georgia Tech,North Carolina,,3.0,10.0,0.0,2.0,6.0,2.0,,,Boshamer Stadium,Chapel Hill,NC,North Carolina,Atlantic Coast,5000,1972,,35.9063145,-79.0427441,125.8752212524414,"{'lat': 35.9063145, 'lon': -79.0427441, 'tz': '-04:00', 'date': '2016-03-24', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 39.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 52.11, 'max': 77.54, 'afternoon': 73.02, 'night': 62.31, 'evening': 75.83, 'morning': 54.18}, 'pressure': {'afternoon': 1019.0}, 'wind': {'max': {'speed': 13.87, 'direction': 190.0}}}"
2016-03-24,TCU,Texas,,3.0,7.0,4.0,4.0,10.0,0.0,,,UFCU Disch–Falk Field,Austin,TX,Texas,Big 12,7373,1975,[14],30.2799584,-97.7261606,176.8224334716797,"{'lat': 30.2799584, 'lon': -97.7261606, 'tz': '-05:00', 'date': '2016-03-24', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 37.0}, 'precipitation': {'total': 4.4}, 'temperature': {'min': 49.6, 'max': 68.52, 'afternoon': 59.45, 'night': 68.52, 'evening': 67.33, 'morning': 55.98}, 'pressure': {'afternoon': 1018.0}, 'wind': {'max': {'speed': 16.11, 'direction': 340.0}}}"
2016-03-24,Georgia,Mississippi State,,2.0,10.0,1.0,9.0,15.0,1.0,,,"Dudy Noble Field, Polk–DeMent Stadium",Starkville,MS,Mississippi State,Southeastern,15000,"1967rebuilt 1987, renovated 2001, rebuilt 2019",,33.4630609,-88.7940698,110.2767028808594,"{'lat': 33.4630609, 'lon': -88.7940698, 'tz': '-05:00', 'date': '2016-03-24', 'units': 'imperial', 'cloud_cover': {'afternoon': 90.0}, 'humidity': {'afternoon': 77.0}, 'precipitation': {'total': 1.69}, 'temperature': {'min': 53.8, 'max': 66.97, 'afternoon': 65.55, 'night': 65.53, 'evening': 65.1, 'morning': 62.67}, 'pressure': {'afternoon': 1010.0}, 'wind': {'max': {'speed': 17.22, 'direction': 170.0}}}"
2016-03-24,Loyola Marymount,BYU,,1.0,3.0,3.0,4.0,8.0,1.0,,,Larry H. Miller Field,Provo,UT,BYU,Big 12,2710,2001,,40.2547328,-111.6513737,1420.372924804688,"{'lat': 40.2547328, 'lon': -111.6513737, 'tz': '-06:00', 'date': '2016-03-24', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 39.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 26.89, 'max': 50.13, 'afternoon': 43.47, 'night': 31.84, 'evening': 49.23, 'morning': 27.5}, 'pressure': {'afternoon': 1021.0}, 'wind': {'max': {'speed': 11.41, 'direction': 190.0}}}"
2016-03-24,Oregon State,California,,2.0,4.0,3.0,6.0,5.0,0.0,,,Evans Diamond,Berkeley,CA,California,Pac-12,2500,1933,,37.8694247,-122.2633963,70.94693756103516,"{'lat': 37.8694247, 'lon': -122.2633963, 'tz': '-07:00', 'date': '2016-03-24', 'units': 'imperial', 'cloud_cover': {'afternoon': 92.0}, 'humidity': {'afternoon': 68.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 47.95, 'max': 67.19, 'afternoon': 63.3, 'night': 51.93, 'evening': 63.72, 'morning': 48.07}, 'pressure': {'afternoon': 1024.0}, 'wind': {'max': {'speed': 10.85, 'direction': 290.0}}}"
2016-03-25,UAB,Florida Atlantic,,3.0,9.0,0.0,5.0,10.0,1.0,,,FAU Baseball Stadium,Boca Raton,FL,Florida Atlantic,The American,2000,1991,,26.3702709,-80.1095751,3.560908317565918,"{'lat': 26.3702709, 'lon': -80.1095751, 'tz': '-04:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 83.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 75.43, 'max': 82.02, 'afternoon': 80.26, 'night': 76.01, 'evening': 76.44, 'morning': 75.92}, 'pressure': {'afternoon': 1017.0}, 'wind': {'max': {'speed': 16.11, 'direction': 60.0}}}"
2016-03-25,Georgia Tech,North Carolina,,0.0,5.0,1.0,8.0,10.0,0.0,,,Boshamer Stadium,Chapel Hill,NC,North Carolina,Atlantic Coast,5000,1972,,35.9063145,-79.0427441,125.8752212524414,"{'lat': 35.9063145, 'lon': -79.0427441, 'tz': '-04:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 63.0}, 'precipitation': {'total': 2.3}, 'temperature': {'min': 64.6, 'max': 74.91, 'afternoon': 72.99, 'night': 65.03, 'evening': 74.48, 'morning': 64.9}, 'pressure': {'afternoon': 1011.0}, 'wind': {'max': {'speed': 14.99, 'direction': 240.0}}}"
2016-03-25,USC,UC Santa Barbara,,2.0,7.0,1.0,5.0,3.0,1.0,,,Caesar Uyesaka Stadium,Santa Barbara,CA,UC Santa Barbara,Big West,1000,1964,,34.4190504,-119.8523306,12.95749187469482,"{'lat': 34.4190504, 'lon': -119.8523306, 'tz': '-07:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 58.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 57.87, 'max': 73.76, 'afternoon': 67.46, 'night': 58.5, 'evening': 70.75, 'morning': 59.68}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 25.28, 'direction': 10.0}}}"
2016-03-25,NC State,Florida State,,5.0,8.0,2.0,8.0,7.0,0.0,,,Mike Martin Field at Dick Howser Stadium,Tallahassee,FL,Florida State,Atlantic Coast,6700,1983,,30.4405434,-84.3040448,21.59014511108398,"{'lat': 30.4405434, 'lon': -84.3040448, 'tz': '-04:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 90.0}, 'humidity': {'afternoon': 96.0}, 'precipitation': {'total': 11.66}, 'temperature': {'min': 61.29, 'max': 71.76, 'afternoon': 66.22, 'night': 64.06, 'evening': 66.04, 'morning': 61.29}, 'pressure': {'afternoon': 1015.0}, 'wind': {'max': {'speed': 13.87, 'direction': 190.0}}}"
2016-03-25,Vanderbilt,Missouri,,8.0,12.0,0.0,6.0,4.0,0.0,,,Taylor Stadium,Columbia,MO,Missouri,Southeastern,3031,2002,,38.9355047,-92.3386596,219.3873901367188,"{'lat': 38.9355047, 'lon': -92.3386596, 'tz': '-05:00', 'date': '2016-03-25', 'units': 'imperial', 'cloud_cover': {'afternoon': 20.0}, 'humidity': {'afternoon': 64.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 34.9, 'max': 55.33, 'afternoon': 43.39, 'night': 38.5, 'evening': 55.33, 'morning': 35.65}, 'pressure': {'afternoon': 1018.0}, 'wind': {'max': {'speed': 11.41, 'direction': 170.0}}}"
