game_info,year,date,away_team,home_team,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,venue,n_venue,team,latitude,longitude,elevation
BIG TEN CHAMPIONSHIP ,2017,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
BIG TEN CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
BIG TEN TOURNAMENT,2019,15,15,15,15,15,15,15,15,15,15,0,15,0,0,0
BIG TEN TOURNAMENT ,2017,13,13,13,13,13,13,13,13,13,13,0,13,0,0,0
BIG TEN TOURNAMENT ,2018,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0
BULLDOG INVITATIONAL ,2016,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Baylor vs Oklahoma State,2021,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Baylor vs TCU,2021,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Big 12 Championship,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Big 12 Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Big 12 Tournament,2021,14,14,14,14,14,14,14,14,14,14,0,14,0,0,0
Big 12 Tournament,2022,13,13,13,13,13,13,13,13,13,13,0,13,0,0,0
Big East Championship,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Big East Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Big East Tournament,2021,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0
Big East Tournament,2022,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0
Big South Championship,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Big South Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Big South Tournament,2021,5,5,5,5,5,5,5,5,5,5,0,4,0,0,0
Big South Tournament,2022,10,10,10,10,10,10,10,10,10,10,0,8,0,0,0
Big Ten Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Big Ten Tournament,2022,13,13,13,13,13,13,13,13,13,13,0,13,0,0,0
CAA CHAMPIONSHIP,2019,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
CAA CHAMPIONSHIP ,2017,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
CAA Championship,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
CAA Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
CAA TOURNAMENT,2019,9,9,9,9,9,9,9,9,9,9,0,9,0,0,0
CAA TOURNAMENT ,2016,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
CAA TOURNAMENT ,2017,9,9,9,9,9,9,9,9,9,9,0,9,0,0,0
CAA TOURNAMENT ,2018,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
CAA Tournament,2021,9,9,9,9,9,9,9,9,9,9,0,9,0,0,0
CAA Tournament,2022,9,9,9,9,9,9,9,9,9,9,0,9,0,0,0
CARAVELLE RESORT TOURNAMENT ,2017,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0
CHARLESTON CRAB HOUSE SHOOTOUT ,2017,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
CONFERENCE USA CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
CONFERENCE USA CHAMPIONSHIP ,2016,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
CONFERENCE USA TOURNAMENT,2019,14,14,14,14,14,14,14,14,14,14,0,14,0,0,0
CONFERENCE USA TOURNAMENT ,2016,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
